stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e2,calce,coral,CS2_37,2024,18.835777282714844,21.50940445434203,-0.8523769378662109,18.835777282714844,73.19189971070395,,,,
e2,calce,self_train,CS2_37,2024,18.18003273010254,19.673516239120488,-0.5496605634689331,18.18003273010254,76.56702025072323,,,,
e2,calce,dann,CS2_37,2024,17.966848373413086,19.27614571695213,-0.48769187927246094,17.966848373413086,76.75988428158148,,,,
e3,calce,hipif,CS2_37,2024,3.872887459405941,4.225673925727997,0.9285068384875494,22.032840728759766,78.30279652844744,0.0,18.065772392903508,0.35,14.0
e4,calce,no_gate,CS2_37,2024,4.510721606701958,5.599581953814468,0.874459530168175,4.830130100250244,23.04725168756027,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_37,2024,4.16487620745538,4.6335649982900495,0.9140386834614417,19.965253829956055,77.53134040501446,0.0,19.27736910428386,0.35,14.0
e4,calce,no_projection,CS2_37,2024,3.9054185447070973,4.284157156765289,0.9265142168729783,22.376605987548828,77.04918032786885,0.0,18.065772392903508,0.35,14.0
e4,calce,direct_proj,CS2_37,2024,4.008207600087819,4.4373434611145095,0.9211650802065727,21.70331382751465,77.82063645130182,0.0,,,
e1,calce,direct,CS2_38,2024,22.07477378845215,24.56546926629812,-1.3989229202270508,22.07477378845215,80.11152416356877,,,,
e2,calce,coral,CS2_38,2024,18.9057674407959,21.330281913600484,-0.808669924736023,18.9057674407959,75.18587360594795,,,,
e2,calce,self_train,CS2_38,2024,18.162805557250977,19.657238181887433,-0.5360704660415649,18.162805557250977,74.44237918215613,,,,
e2,calce,dann,CS2_38,2024,17.127304077148438,18.16543341600762,-0.311769962310791,17.127304077148438,73.69888475836431,,,,
e3,calce,hipif,CS2_38,2024,3.8795521745153136,4.193334261382542,0.9300987238360168,22.054454803466797,79.36802973977694,0.0,18.503163866463016,0.35,14.0
e4,calce,no_gate,CS2_38,2024,4.309767801128085,5.194281036861712,0.8927451286007932,5.284872055053711,40.70631970260223,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_38,2024,4.3018095373242815,4.859232664687002,0.9061354661795752,20.847497940063477,78.62453531598513,0.0,19.659611608116954,0.35,14.0
e4,calce,no_projection,CS2_38,2024,4.043385478263127,4.441802013527132,0.9215695814163036,22.758325576782227,79.83271375464685,0.0,18.852280165830244,0.35,14.0
