stage,dataset,method,cell,seed,mae,rmse,r2,raw_pvr
e8,nasa,Transformer_direct_proj,B0018,2718,14.896081281252725,15.21530894910756,-2.889623765747464,0.0
e8,calce,GRU_direct,CS2_33,42,14.991070747375488,16.891634957663772,0.1661989688873291,57.505773672055426
e8,calce,GRU_direct_proj,CS2_33,42,6.636444715808193,8.931385253766143,0.7668922689545754,57.505773672055426
e8,calce,GRU_direct,CS2_34,42,12.068144798278809,14.311250457190576,-0.032735466957092285,64.51612903225806
e8,calce,GRU_direct_proj,CS2_34,42,3.990960608020121,5.422311017958249,0.8517472507249653,64.51612903225806
e8,calce,GRU_direct,CS2_35,42,14.212576866149902,16.16855057164651,-0.03587460517883301,56.54506437768241
e8,calce,GRU_direct_proj,CS2_35,42,5.479115231195535,7.73286285740368,0.7630560876051788,56.54506437768241
e8,calce,GRU_direct,CS2_36,42,14.917278289794922,17.026805612768356,0.06996947526931763,57.348406988694755
e8,calce,GRU_direct_proj,CS2_36,42,6.599727042648076,9.081779890756772,0.7354103665943265,57.348406988694755
e8,calce,GRU_direct,CS2_37,42,14.178997993469238,16.004440645062488,-0.025542378425598145,60.46287367405979
e8,calce,GRU_direct_proj,CS2_37,42,5.966709740899917,8.05806370681892,0.7400235959580219,60.46287367405979
e8,calce,GRU_direct,CS2_38,42,14.414859771728516,16.196370525920017,-0.0428011417388916,59.572490706319705
e8,calce,GRU_direct_proj,CS2_38,42,5.892278185543588,8.005482566543426,0.7452341740124915,59.572490706319705
e8,calce,Transformer_direct,CS2_33,42,18.79387855529785,20.896117715874954,-0.2759988307952881,66.74364896073904
e8,calce,Transformer_direct_proj,CS2_33,42,5.975833395595601,7.757888500765168,0.8241241950429689,66.74364896073904
e8,calce,Transformer_direct,CS2_34,42,17.549869537353516,20.12401204023947,-1.042034387588501,78.32258064516128
e8,calce,Transformer_direct_proj,CS2_34,42,3.9013163824284702,4.939775413122959,0.8769594354944031,78.32258064516128
e8,calce,Transformer_direct,CS2_35,42,18.468069076538086,20.55564288329857,-0.6742762327194214,71.78111587982833
e8,calce,Transformer_direct_proj,CS2_35,42,4.35279741746796,5.63605661838991,0.8741319124002247,71.78111587982833
e8,calce,Transformer_direct,CS2_36,42,18.805927276611328,20.944919831502027,-0.4073050022125244,68.65364850976363
e8,calce,Transformer_direct_proj,CS2_36,42,5.477280880877446,6.875261689250937,0.8483615463995142,68.65364850976363
e8,calce,Transformer_direct,CS2_37,42,18.12226104736328,20.029609124973426,-0.6062662601470947,71.55255544840887
e8,calce,Transformer_direct_proj,CS2_37,42,4.872622850875887,5.966473778390247,0.8574694333243381,71.55255544840887
