stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e6,nasa,calib_H0,B0005,99,1.344651071738551,1.7338602576724154,0.9666351761885592,2.8289129734039307,0.0,0.0,,,,,
e6,nasa,calib_H1,B0005,99,2.396602263883235,2.698593405193923,0.919176889385888,6.277545928955078,61.30952380952381,0.0,,,,,
e6,nasa,calib_H2,B0005,99,2.395161743946448,2.692195485466636,0.919559671611399,6.564726829528809,62.5,0.0,,,,,
e5,nasa,drop_I1,B0006,99,2.6109348146436493,3.094577606411965,0.9393370455921376,5.272995948791504,41.66666666666667,0.0,0.0,19.047619047619047,0.0,38.095238095238095,58.333333333333336
e5,nasa,drop_I2,B0006,99,2.6287858450084833,3.11813942191985,0.9384097650968379,4.606339931488037,36.904761904761905,0.0,0.0,20.833333333333336,0.0,36.904761904761905,54.761904761904766
e5,nasa,drop_I3,B0006,99,2.6003533449075795,3.0742093432814532,0.9401329750320591,4.3641228675842285,41.07142857142857,0.0,0.0,22.61904761904762,0.0,36.904761904761905,55.952380952380956
e5,nasa,drop_I4,B0006,99,2.5307418508973134,3.078200660680913,0.9399774206193486,4.369322776794434,54.761904761904766,0.0,0.0,20.833333333333336,0.0,52.976190476190474,54.761904761904766
e6,nasa,calib_H0,B0006,99,3.887016963702833,4.383299096643153,0.8782909107878512,2.452834367752075,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,99,2.641917966467569,3.112461966345079,0.9386338458278866,4.855547904968262,38.095238095238095,0.0,,,,,
e6,nasa,calib_H2,B0006,99,2.650288254738932,3.129498602366859,0.9379602092415164,5.358996391296387,42.857142857142854,0.0,,,,,
e5,nasa,drop_I1,B0007,99,2.2639501026266324,2.4384698522092823,0.9076357752613592,10.81251335144043,94.04761904761905,0.0,0.0,27.380952380952383,0.0,94.04761904761905,97.61904761904762
e5,nasa,drop_I2,B0007,99,2.28770407772921,2.4714865325398767,0.9051176342433966,10.223130226135254,92.85714285714286,0.0,0.0,27.380952380952383,0.0,91.07142857142857,96.42857142857143
e5,nasa,drop_I3,B0007,99,2.3215123542263454,2.52565724420045,0.9009127369319436,11.007942199707031,94.04761904761905,0.0,0.0,23.214285714285715,0.0,93.45238095238095,97.61904761904762
e5,nasa,drop_I4,B0007,99,2.2236013918649835,2.3949770916056474,0.9109012245091543,8.082115173339844,89.88095238095238,0.0,0.0,22.023809523809522,0.0,88.09523809523809,94.64285714285714
e6,nasa,calib_H0,B0007,99,2.5009958319920202,2.9733118895568986,0.8626748939376632,6.618300437927246,1.7857142857142856,0.0,,,,,
e6,nasa,calib_H1,B0007,99,2.271797772706771,2.4505082548049932,0.9067215442184154,12.267756462097168,94.64285714285714,0.0,,,,,
e6,nasa,calib_H2,B0007,99,2.2603038885120985,2.4356442941753773,0.9078497039039194,10.690593719482422,94.64285714285714,0.0,,,,,
e5,nasa,drop_I1,B0018,99,1.9526352501267201,2.2442352410691693,0.9153780945457393,4.093136787414551,57.57575757575758,0.0,0.0,12.121212121212121,0.0,53.03030303030303,67.42424242424242
e5,nasa,drop_I2,B0018,99,1.9861984746232086,2.29354330423802,0.9116187919395285,4.280709743499756,54.54545454545454,0.0,0.0,9.848484848484848,0.0,51.515151515151516,59.84848484848485
e5,nasa,drop_I3,B0018,99,2.073526418103088,2.413300072892364,0.9021482275548194,4.947097301483154,68.93939393939394,0.0,0.0,9.848484848484848,0.0,68.18181818181817,78.78787878787878
e5,nasa,drop_I4,B0018,99,2.174218144679623,2.5768897659916106,0.8884324936824053,2.0971202850341797,0.0,0.0,0.0,12.878787878787879,0.0,0.0,14.393939393939394
e6,nasa,calib_H0,B0018,99,4.781665179696652,5.210685172296368,0.5438205547262842,3.730797290802002,0.0,0.0,,,,,
