dataset,cell,seed,combo,mono,rate,floor,mae
calce,CS2_38,123,floor,0,0,1,5.182663922518824
calce,CS2_38,123,rate,0,1,0,22.881512445263336
calce,CS2_38,123,rate+floor,0,1,1,5.192722655765922
calce,CS2_38,123,mono,1,0,0,22.727695846651887
calce,CS2_38,123,mono+floor,1,0,1,3.97947142588071
calce,CS2_38,123,mono+rate,1,1,0,21.392657640913857
calce,CS2_38,123,mono+rate+floor,1,1,1,3.976958184552429
calce,CS2_38,256,clip_only,0,0,0,22.278695521301497
calce,CS2_38,256,floor,0,0,1,4.893352699505966
calce,CS2_38,256,rate,0,1,0,21.332224458237214
calce,CS2_38,256,rate+floor,0,1,1,4.895030641004346
calce,CS2_38,256,mono,1,0,0,21.761134130565576
calce,CS2_38,256,mono+floor,1,0,1,4.2065709486498255
calce,CS2_38,256,mono+rate,1,1,0,20.815882259544274
calce,CS2_38,256,mono+rate+floor,1,1,1,4.2065709486498255
calce,CS2_38,1234,clip_only,0,0,0,22.549784724153994
calce,CS2_38,1234,floor,0,0,1,4.569664146379767
calce,CS2_38,1234,rate,0,1,0,21.415662208666078
calce,CS2_38,1234,rate+floor,0,1,1,4.545670107708505
calce,CS2_38,1234,mono,1,0,0,22.084630078957343
calce,CS2_38,1234,mono+floor,1,0,1,3.9126330546324786
calce,CS2_38,1234,mono+rate,1,1,0,20.945798672389035
calce,CS2_38,1234,mono+rate+floor,1,1,1,3.890552625334132
calce,CS2_38,2024,clip_only,0,0,0,22.074773752999572
calce,CS2_38,2024,floor,0,0,1,4.675318468637627
calce,CS2_38,2024,rate,0,1,0,21.143957989790124
calce,CS2_38,2024,rate+floor,0,1,1,4.6768746842856155
calce,CS2_38,2024,mono,1,0,0,21.767907125807795
calce,CS2_38,2024,mono+floor,1,0,1,4.093150847717054
calce,CS2_38,2024,mono+rate,1,1,0,20.836248150057493
calce,CS2_38,2024,mono+rate+floor,1,1,1,4.093150847717054
calce,CS2_38,2718,clip_only,0,0,0,23.3648382810855
calce,CS2_38,2718,floor,0,0,1,3.601176812057613
calce,CS2_38,2718,rate,0,1,0,22.22138125449109
calce,CS2_38,2718,rate+floor,0,1,1,3.6027091275453293
calce,CS2_38,2718,mono,1,0,0,23.367678308624807
calce,CS2_38,2718,mono+floor,1,0,1,3.1643458906191535
calce,CS2_38,2718,mono+rate,1,1,0,22.229104297276407
calce,CS2_38,2718,mono+rate+floor,1,1,1,3.1641277992062125
nasa,B0005,7,clip_only,0,0,0,13.935995101928711
nasa,B0005,7,floor,0,0,1,3.229697022829459
nasa,B0005,7,rate,0,1,0,10.055642615622492
nasa,B0005,7,rate+floor,0,1,1,3.1721354272972255
nasa,B0005,7,mono,1,0,0,13.933537346976138
nasa,B0005,7,mono+floor,1,0,1,2.570382664197664
nasa,B0005,7,mono+rate,1,1,0,10.150751444326792
nasa,B0005,7,mono+rate+floor,1,1,1,2.556838597030874
nasa,B0005,42,clip_only,0,0,0,15.71748704002017
nasa,B0005,42,floor,0,0,1,3.5554616995599764
nasa,B0005,42,rate,0,1,0,11.306221321551666
nasa,B0005,42,rate+floor,0,1,1,3.4814366583426604
nasa,B0005,42,mono,1,0,0,15.71748704002017
nasa,B0005,42,mono+floor,1,0,1,2.850284359928821
nasa,B0005,42,mono+rate,1,1,0,11.311079413640515
nasa,B0005,42,mono+rate+floor,1,1,1,2.8661804882316777
nasa,B0005,99,clip_only,0,0,0,10.721170402708507
nasa,B0005,99,floor,0,0,1,3.0167548571774714
nasa,B0005,99,rate,0,1,0,8.641068708097947
nasa,B0005,99,rate+floor,0,1,1,2.9448869421415544
nasa,B0005,99,mono,1,0,0,10.593800212488807
nasa,B0005,99,mono+floor,1,0,1,2.5898963903798746
nasa,B0005,99,mono+rate,1,1,0,8.700688858777479
nasa,B0005,99,mono+rate+floor,1,1,1,2.5717700455066317
nasa,B0005,123,clip_only,0,0,0,14.437103453136626
nasa,B0005,123,floor,0,0,1,3.3090603079028487
nasa,B0005,123,rate,0,1,0,10.280452066197658
nasa,B0005,123,rate+floor,0,1,1,3.256823501178636
nasa,B0005,123,mono,1,0,0,14.43710345313663
nasa,B0005,123,mono+floor,1,0,1,2.6955517035698615
nasa,B0005,123,mono+rate,1,1,0,10.842101000879119
nasa,B0005,123,mono+rate+floor,1,1,1,2.71926493807342
nasa,B0005,256,clip_only,0,0,0,14.246695722852435
nasa,B0005,256,floor,0,0,1,3.4624469934425766
nasa,B0005,256,rate,0,1,0,10.35317294286619
nasa,B0005,256,rate+floor,0,1,1,3.314199405686338
nasa,B0005,256,mono,1,0,0,14.246695722852435
nasa,B0005,256,mono+floor,1,0,1,2.7551846048325475
nasa,B0005,256,mono+rate,1,1,0,10.354209978099124
nasa,B0005,256,mono+rate+floor,1,1,1,2.6795819196036215
nasa,B0005,1234,clip_only,0,0,0,14.25798207237607
nasa,B0005,1234,floor,0,0,1,3.441760696621569
nasa,B0005,1234,rate,0,1,0,11.344495701203947
nasa,B0005,1234,rate+floor,0,1,1,3.3540705992465325
nasa,B0005,1234,mono,1,0,0,14.25798207237607
nasa,B0005,1234,mono+floor,1,0,1,2.7391468789659763
nasa,B0005,1234,mono+rate,1,1,0,11.34734420499996
nasa,B0005,1234,mono+rate+floor,1,1,1,2.7227180166921965
nasa,B0005,2024,clip_only,0,0,0,15.25528065363566
nasa,B0005,2024,floor,0,0,1,3.316150412687162
nasa,B0005,2024,rate,0,1,0,11.623814368809509
nasa,B0005,2024,rate+floor,0,1,1,3.2038445232471093
nasa,B0005,2024,mono,1,0,0,15.245733465467175
nasa,B0005,2024,mono+floor,1,0,1,2.61349415701599
nasa,B0005,2024,mono+rate,1,1,0,11.756665023913595
nasa,B0005,2024,mono+rate+floor,1,1,1,2.5726544951873587
nasa,B0005,2718,clip_only,0,0,0,19.07712241581508
nasa,B0005,2718,floor,0,0,1,3.5294890607485923
nasa,B0005,2718,rate,0,1,0,13.638105218981835
nasa,B0005,2718,rate+floor,0,1,1,3.4653110029726433
nasa,B0005,2718,mono,1,0,0,19.07712241581508
nasa,B0005,2718,mono+floor,1,0,1,2.8275093911003473
nasa,B0005,2718,mono+rate,1,1,0,13.828591834543095
nasa,B0005,2718,mono+rate+floor,1,1,1,2.820507441927932
nasa,B0006,7,clip_only,0,0,0,12.196997756049747
nasa,B0006,7,floor,0,0,1,3.049543218734346
nasa,B0006,7,rate,0,1,0,8.285158030667057
nasa,B0006,7,rate+floor,0,1,1,3.0499214256928515
nasa,B0006,7,mono,1,0,0,12.094309347968924
nasa,B0006,7,mono+floor,1,0,1,2.310430035807911
nasa,B0006,7,mono+rate,1,1,0,8.460191252791272
